code,user,repo,branch,stars,description
PopulateTools-ckanext-ansible-workflow,PopulateTools,ckanext-ansible-workflow,master,5,Ansible role for managing and deploying CKAN extensions
openresearchdata-ckanext-oaipmh,openresearchdata,ckanext-oaipmh,master,4,OAI-PMH harvester for CKAN
cfpb-ckanext-cfpb-extrafields,cfpb,ckanext-cfpb-extrafields,master,4,
EUDAT-B2FIND-ckanext-datesearch,EUDAT-B2FIND,ckanext-datesearch,master,4,
fraunhoferfokus-ckanext-govdatade,fraunhoferfokus,ckanext-govdatade,master,4,GovData.de specific CKAN extension
GovDataOfficial-ckanext-dcatde,GovDataOfficial,ckanext-dcatde,master,4,DE: Dieses Repository beinhaltet die Erweiterung von ckanext-dcat auf die Spezifikation DCAT-AP.de. EN: This is a DCAT-AP.de specific CKAN extension for providing and importing DCAT-AP.de-Profile data.
kata-csc-ckanext-ddi,kata-csc,ckanext-ddi,master,4,DDI harvester for ckanext-kata
ckan-ckanext-searchhistory,ckan,ckanext-searchhistory,master,4,Save search history to be used later for autocomplete and statistics
datopian-ckanext-opendatani,datopian,ckanext-opendatani,master,4,
NaturalHistoryMuseum-ckanext-gallery,NaturalHistoryMuseum,ckanext-gallery,main,4,CKAN extension for a dataset gallery view.
gsi-cyberjapan-ckanext-basemaps,gsi-cyberjapan,ckanext-basemaps,master,4,ckanext basemaps plugin
datopian-ckanext-edo,datopian,ckanext-edo,master,4,
CodeandoMexico-ckanext-datamx_theme,CodeandoMexico,ckanext-datamx_theme,master,4,Codeando Mexico's Custom Theme CKAN Extension.
whythawk-ckanext-ldap,whythawk,ckanext-ldap,master,4,LDAP authentication for ckan
PublicaMundi-ckanext-vectorstorer,PublicaMundi,ckanext-vectorstorer,master,4,"CKAN extension to upload vector geospatial data, store and publish through OGC services."
okfde-ckanext-offenedaten,okfde,ckanext-offenedaten,master,4,CKAN extension for OffeneDaten.de (theme/UI & harvesters)
VilledeMontreal-ckanext-montreal,VilledeMontreal,ckanext-montreal,master,4,Theming extension for Montreal city.
damalaga-ckanext-malaga,damalaga,ckanext-malaga,v2.0-para-CKAN2.3-respon,4,Málaga city council CKAN Extension
